"","gendered_words"
"1",""
"2","(an etwas) zweifelnde Person"
"3","(approbierte) Arzneikundige; approbierte pharmazeutische Fachkräfte"
"4","(ärztliche) Behandlungskosten; Kosten für medizinische Leistungen"
"5","(be-)nutzende Person; Person, die ... nutzt"
"6","(Be-)Nutzungsordnung"
"7","(enge) Bezugsperson; Herzensmensch; Bekanntschaft; Lieblingsmensch; bessere Hälfte"
"8","(Er-)Schaffende"
"9","(er-)schaffende Person"
"10","(fach-)ärztliche Fachkraft; Fachpraxis"
"11","(im) Eigentum von ..."
"12","(Informatikfachkraft) eher nicht zu empfehlen, denn die Bezeichnung Fachinformatiker ist ein staatlich anerkannter Ausbildungsberuf; Informatikfachkraft ein Sammelbegriff für Menschen in der IT, auch ohne Ausbildung. ;  weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"13","(künstlerisches) Pseudonym; Kunstname"
"14","(medizinische) Fachkraft für Logopädie"
"15","(mit uns) kooperierende Institution"
"16","(oberste) Führungskraft der Bundesregierung; Leitung der Bundesregierung; erste Führungsperson der Bundesregierung  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"17","(persönliche) Nutzungsdaten; Datenspuren; Daten der Nutzenden"
"18","(privat) ermittelnde Person; privat ermittelnde Person; nach Hinweisen suchende Person"
"19","(simultan / konsekutiv) dolmetschende Fachkraft"
"20","(städtisches/kommunales) Service Center/Servicebüro; Stadtteilbüro; Stadtbüro; Nachbarschaftbüro; Gemeindebüro; Kommunalbüro; Informationsbüro (für Anwohnende); Büro für bürgerliche Belange; Informationsstelle (für Ratsuchende)"
"21","..."
"22","... [als Neutrum ist das Wort Vereinsmitglieder schon gendergerecht: DAS Mitglied (sg.), die Mitglieder (pl.); wer dennoch eine Alternative bevorzugt, kann diese hier nutzen:] Alle Vereinsangehörigen / -zugehörigen sind zur Hauptversammlung einladen. / Als Teil des Vereins sind Sie zur Hauptversammlung eingeladen."
"23","... 1000-Personen-Quote"
"24","... 2000 gemeldete Personen/km2"
"25","... 3. spielende Person"
